Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S56711770,Canada Goose,Branta canadensis,297,4,CA-ON,Hamilton,L762367,Saltfleet--8th Road East,43.1862477,-79.6818209,2019-05-22,07:45 PM,eBird - Stationary Count,30,1,,,2
S41731132,Canada Goose,Branta canadensis,297,X,CA-ON,Hamilton,L476615,Stoney Creek--10th Road East,43.185528,-79.6610069,2018-01-07,03:00 PM,eBird - Traveling Count,60,0,3.,,2
S42143449,Canada Goose,Branta canadensis,297,X,CA-ON,Hamilton,L476615,Stoney Creek--10th Road East,43.185528,-79.6610069,2018-01-21,03:45 PM,eBird - Traveling Count,105,0,3.,,2
S43190632,Canada Goose,Branta canadensis,297,X,CA-ON,Hamilton,L476615,Stoney Creek--10th Road East,43.185528,-79.6610069,2018-02-23,09:30 AM,eBird - Stationary Count,10,0,,,2
S46069814,Canada Goose,Branta canadensis,297,X,CA-ON,Hamilton,L476615,Stoney Creek--10th Road East,43.185528,-79.6610069,2018-05-27,08:30 AM,eBird - Traveling Count,80,0,3.,,2
S54660578,Canada Goose,Branta canadensis,297,20,CA-ON,Hamilton,L476615,Stoney Creek--10th Road East,43.185528,-79.6610069,2019-04-06,05:30 PM,eBird - Traveling Count,150,1,12.,,2,,,Driving loop between 8th and 11th road + walk on Defasco trail from 8th to 11th road
S54709324,Canada Goose,Branta canadensis,297,75,CA-ON,Hamilton,L476615,Stoney Creek--10th Road East,43.185528,-79.6610069,2019-04-07,06:00 PM,eBird - Traveling Count,90,1,10.,,2
S56896434,Canada Goose,Branta canadensis,297,2,CA-ON,Hamilton,L476615,Stoney Creek--10th Road East,43.185528,-79.6610069,2019-05-27,07:45 PM,eBird - Stationary Count,5,1,,,2
S67398605,Canada Goose,Branta canadensis,297,10,CA-ON,Hamilton,L476615,Stoney Creek--10th Road East,43.185528,-79.6610069,2020-04-01,07:00 PM,eBird - Traveling Count,80,1,1.609,,2
S44250667,Canada Goose,Branta canadensis,297,24,CA-ON,Hamilton,L878483,Stoney Creek--5th Road East,43.1922866,-79.7130203,2018-04-04,09:00 AM,eBird - Traveling Count,20,1,.5,,2
S46069344,Canada Goose,Branta canadensis,297,2,CA-ON,Hamilton,L878483,Stoney Creek--5th Road East,43.1922866,-79.7130203,2018-05-27,06:45 AM,eBird - Stationary Count,10,1,,,2
S51874976,Canada Goose,Branta canadensis,297,20,CA-ON,Hamilton,L878483,Stoney Creek--5th Road East,43.1922866,-79.7130203,2019-01-19,04:00 PM,Historical,60,1,,,2
